"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 31 13:38:59 CEST 2022","Tue May 31 13:39:03 CEST 2022","3397","","TC0006 - Main Page Element Verification - Icon Callouts","","TC0006 - Main Page Element Verification - Icon Callouts","should show and verify the speed cap icon callouts icon visibility, title value, and text value","should show and verify the speed cap icon callouts icon visibility, title value, and text value",""
"passed","Mon May 30 14:02:46 CEST 2022","Mon May 30 14:02:47 CEST 2022","904","","TC0001 - Main Page Loading and Cookie Container Verification","","TC0001 - Main Page Loading and Cookie Container Verification","3.1 should show and verify the model intro header and text","3.1 should show and verify the model intro header and text",""
"passed","Tue May 31 21:18:44 CEST 2022","Tue May 31 21:18:55 CEST 2022","10912","","TC0004 - Car Safety Options Verification","","TC0004 - Car Safety Options Verification","should show and verify the care key icon visibility, title value, and text value","should show and verify the care key icon visibility, title value, and text value",""
"passed","Mon May 30 20:13:02 CEST 2022","Mon May 30 20:13:13 CEST 2022","11191","","TC0006 - Main Page Element Verification - Icon Callouts","","TC0006 - Main Page Element Verification - Icon Callouts","6.2 should show and verify the highway pilot icon callouts icon visibility, title value, and text value","6.2 should show and verify the highway pilot icon callouts icon visibility, title value, and text value",""
"passed","Mon May 30 20:13:48 CEST 2022","Mon May 30 20:13:59 CEST 2022","11334","","TC0006 - Main Page Element Verification - Icon Callouts","","TC0006 - Main Page Element Verification - Icon Callouts","6.6 should show and verify the icon callouts footer","6.6 should show and verify the icon callouts footer",""
"passed","Tue May 31 13:39:25 CEST 2022","Tue May 31 13:39:37 CEST 2022","11747","","TC0006 - Main Page Element Verification - Icon Callouts","","TC0006 - Main Page Element Verification - Icon Callouts","should show and verify the care key icon callouts icon visibility, title value, and text value","should show and verify the care key icon callouts icon visibility, title value, and text value",""
"failed","Tue May 31 21:13:53 CEST 2022","Tue May 31 21:14:04 CEST 2022","10687","","TC0002 - Top Navigation Bar verfiy and click","","TC0002 - Top Navigation Bar verfiy and click","should click the Menu option","should click the Menu option",""
"passed","Mon May 30 20:13:36 CEST 2022","Mon May 30 20:13:48 CEST 2022","12105","","TC0006 - Main Page Element Verification - Icon Callouts","","TC0006 - Main Page Element Verification - Icon Callouts","6.5 should show and verify the learn more about safety text field","6.5 should show and verify the learn more about safety text field",""
"passed","Tue May 31 13:39:14 CEST 2022","Tue May 31 13:39:25 CEST 2022","11010","","TC0006 - Main Page Element Verification - Icon Callouts","","TC0006 - Main Page Element Verification - Icon Callouts","should show and verify the driver monitoring cameras icon callouts icon visibility, title value, and text value","should show and verify the driver monitoring cameras icon callouts icon visibility, title value, and text value",""
"passed","Mon May 30 14:02:47 CEST 2022","Mon May 30 14:02:48 CEST 2022","1090","","TC0001 - Main Page Loading and Cookie Container Verification","","TC0001 - Main Page Loading and Cookie Container Verification","3.1 should click the top navigation bar","3.1 should click the top navigation bar",""
